Country,NOC,Year,Bronze,Silver,Gold
Norway,NOR,1936,3,5,7
Norway,NOR,1948,3,3,4
Norway,NOR,1952,6,3,7
Norway,NOR,1956,1,1,2
Norway,NOR,1960,0,3,3
Norway,NOR,1964,6,6,3
Norway,NOR,1968,2,6,6
Norway,NOR,1972,5,5,2
Norway,NOR,1976,1,3,3
Norway,NOR,1980,6,3,1
Norway,NOR,1984,4,2,3
Norway,NOR,1988,2,3,0
Norway,NOR,1992,5,6,9
Norway,NOR,1994,5,11,10
Norway,NOR,1998,5,10,10
Norway,NOR,2002,7,5,13
Norway,NOR,2006,9,8,2
Norway,NOR,2010,6,8,9
Poland,POL,Total,6,6,2
Poland,POL,1956,1,0,0
Poland,POL,1960,1,1,0
Poland,POL,1972,0,0,1
Poland,POL,2002,1,1,0
Poland,POL,2006,1,1,0
Poland,POL,2010,2,3,1
Romania,ROU,Total,1,0,0
Romania,ROU,1968,1,0,0
Russian Federation,RUS,Total,26,29,36
Russian Federation,RUS,1994,4,8,11
Russian Federation,RUS,1998,3,6,9
Russian Federation,RUS,2002,4,4,5
Russian Federation,RUS,2006,8,6,8
Russian Federation,RUS,2010,7,5,3
Slovakia,SVK,Total,1,2,1
Slovakia,SVK,2006,0,1,0
Slovakia,SVK,2010,1,1,1
Slovenia,SLO,Total,5,2,0
Slovenia,SLO,1994,3,0,0
Slovenia,SLO,2002,1,0,0
Slovenia,SLO,2010,1,2,0
Soviet Union,URS,Total,59,57,78
Soviet Union,URS,1956,6,3,7
Soviet Union,URS,1960,9,5,7
Soviet Union,URS,1964,6,8,11
Soviet Union,URS,1968,3,5,5
Soviet Union,URS,1972,3,5,8
Soviet Union,URS,1976,8,6,13
Soviet Union,URS,1980,6,6,10
Soviet Union,URS,1984,9,10,6
Soviet Union,URS,1988,9,9,11
Spain,ESP,Total,1,0,1
Spain,ESP,1972,0,0,1
Spain,ESP,1992,1,0,0
Sweden,SWE,Total,48,33,48
Sweden,SWE,1924,0,1,1
Sweden,SWE,1928,1,2,2
Sweden,SWE,1932,0,2,1
Sweden,SWE,1936,3,2,2
Sweden,SWE,1948,3,3,4
Sweden,SWE,1952,4,0,0
Sweden,SWE,1956,4,4,2
Sweden,SWE,1960,2,2,3
Sweden,SWE,1964,1,3,3
Sweden,SWE,1968,3,2,3
Sweden,SWE,1972,2,1,1
Sweden,SWE,1976,2,0,0
Sweden,SWE,1980,1,0,3
Sweden,SWE,1984,2,2,4
Sweden,SWE,1988,2,0,4
Sweden,SWE,1992,3,0,1
Sweden,SWE,1994,0,1,2
Sweden,SWE,1998,1,2,0
Sweden,SWE,2002,5,2,0
Sweden,SWE,2006,5,2,7
Sweden,SWE,2010,4,2,5
Switzerland,SUI,Total,46,37,44
Switzerland,SUI,1924,1,0,2
Switzerland,SUI,1928,1,0,0
Switzerland,SUI,1932,0,1,0
Switzerland,SUI,1936,0,2,1
Switzerland,SUI,1948,3,4,3
Switzerland,SUI,1952,2,0,0
Switzerland,SUI,1956,1,2,3
Switzerland,SUI,1960,0,0,2
Switzerland,SUI,1968,4,2,0
Switzerland,SUI,1972,3,3,4
Switzerland,SUI,1976,1,3,1
Switzerland,SUI,1980,3,1,1
Switzerland,SUI,1984,1,2,2
Switzerland,SUI,1988,5,5,5
Switzerland,SUI,1992,2,0,1
Switzerland,SUI,1994,2,4,3
Switzerland,SUI,1998,3,2,2
Switzerland,SUI,2002,6,2,3
Switzerland,SUI,2006,5,4,5
Switzerland,SUI,2010,3,0,6
Ukraine,UKR,Total,3,1,1
Ukraine,UKR,1994,1,0,1
Ukraine,UKR,1998,0,1,0
Ukraine,UKR,2006,2,0,0
United Kingdom (Great Britain),GBR,Total,10,3,9
United Kingdom (Great Britain),GBR,1924,2,1,1
United Kingdom (Great Britain),GBR,1928,1,0,0
United Kingdom (Great Britain),GBR,1936,1,1,1
United Kingdom (Great Britain),GBR,1948,2,0,0
United Kingdom (Great Britain),GBR,1952,0,0,1
United Kingdom (Great Britain),GBR,1964,0,0,1
United Kingdom (Great Britain),GBR,1976,0,0,1
United Kingdom (Great Britain),GBR,1980,0,0,1
United Kingdom (Great Britain),GBR,1984,0,0,1
United Kingdom (Great Britain),GBR,1994,2,0,0
United Kingdom (Great Britain),GBR,1998,1,0,0
United Kingdom (Great Britain),GBR,2002,1,0,1
United Kingdom (Great Britain),GBR,2006,0,1,0
United Kingdom (Great Britain),GBR,2010,0,0,1
United States,USA,Total,71,95,87
United States,USA,1924,1,2,1
United States,USA,1928,2,2,2
United States,USA,1932,2,4,6
United States,USA,1936,3,0,1
United States,USA,1948,2,4,3
United States,USA,1952,1,6,4
United States,USA,1956,2,3,2
United States,USA,1960,3,4,3
United States,USA,1964,3,2,1
United States,USA,1968,1,5,1
United States,USA,1972,3,2,3
United States,USA,1976,4,3,3
United States,USA,1980,2,4,6
United States,USA,1984,0,4,4
United States,USA,1988,3,1,2
United States,USA,1992,2,4,5
United States,USA,1994,2,5,6
United States,USA,1998,4,3,6
United States,USA,2002,11,13,10
United States,USA,2006,7,9,9
United States,USA,2010,13,15,9
United Team,EUN,Total,8,6,9
United Team,EUN,1992,8,6,9
United Team of Germany,EUA,Total,5,6,8
United Team of Germany,EUA,1956,1,0,1
United Team of Germany,EUA,1960,1,3,4
United Team of Germany,EUA,1964,3,3,3
Uzbekistan,UZB,Total,0,0,1
Uzbekistan,UZB,1994,0,0,1
West Germany,FRG,Total,13,15,13
West Germany,FRG,1952,0,0,2
West Germany,FRG,1968,3,2,2
West Germany,FRG,1972,1,1,3
West Germany,FRG,1976,3,5,2
West Germany,FRG,1980,3,2,0
West Germany,FRG,1984,1,1,2
West Germany,FRG,1988,2,4,2
Yugoslavia,YUG,Total,1,3,0
Yugoslavia,YUG,1984,0,1,0
Yugoslavia,YUG,1988,1,2,0
